===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,MyStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,TimeReturn,len,timereturn
105,,105,2019-09-03 00:00:00,2904.75,2915.0,2887.75,2911.25,327751.0,0.0,MyStrategy,105,737305.0,Broker,105,19431.594493187506,19432.594493187506,BuySell,105,,,Trades - Net Profit/Loss,105,,,TimeReturn,105,0.000308854956647453
106,,106,2019-09-04 00:00:00,2911.25,2968.5,2910.75,2964.0,235549.0,0.0,MyStrategy,106,737306.0,Broker,106,19484.344493187506,19485.344493187506,BuySell,106,,,Trades - Net Profit/Loss,106,,,TimeReturn,106,0.0027145114368796186
107,,107,2019-09-05 00:00:00,2963.75,2983.5,2947.25,2975.25,263669.0,0.0,MyStrategy,107,737307.0,Broker,107,19495.594493187506,19496.594493187506,BuySell,107,,,Trades - Net Profit/Loss,107,,,TimeReturn,107,0.000577356997918832
108,,108,2019-09-06 00:00:00,2975.25,2985.0,2969.0,2979.75,204957.0,0.0,MyStrategy,108,737308.0,Broker,108,19500.094493187506,19501.094493187506,BuySell,108,,,Trades - Net Profit/Loss,108,,,TimeReturn,108,0.00023080953966458928
109,,109,2019-09-08 00:00:00,2976.75,2985.5,2976.75,2982.75,15769.0,0.0,MyStrategy,109,737310.0,Broker,109,19503.094493187506,19504.094493187506,BuySell,109,,,Trades - Net Profit/Loss,109,,,TimeReturn,109,0.0001538375192760011
110,,110,2019-09-09 00:00:00,2982.75,2988.5,2966.0,2973.5,179699.0,0.0,MyStrategy,110,737311.0,Broker,110,19493.844493187506,19494.844493187506,BuySell,110,,,Trades - Net Profit/Loss,110,,,TimeReturn,110,-0.00047425939221279467
111,,111,2019-09-10 00:00:00,2973.5,2977.5,2954.0,2975.5,256000.0,0.0,MyStrategy,111,737312.0,Broker,111,19495.844493187506,19496.844493187506,BuySell,111,,,Trades - Net Profit/Loss,111,,,TimeReturn,111,0.00010259122614186822
112,,112,2019-09-11 00:00:00,2975.75,3016.75,2971.5,3012.25,218930.0,0.0,MyStrategy,112,737313.0,Broker,112,19532.594493187506,19533.594493187506,BuySell,112,,,Trades - Net Profit/Loss,112,,,TimeReturn,112,0.0018849204040602974
113,,113,2019-09-12 00:00:00,3012.0,3018.5,2997.75,3012.25,297318.0,0.0,MyStrategy,113,737314.0,Broker,113,19532.594493187506,19533.594493187506,BuySell,113,,,Trades - Net Profit/Loss,113,,,TimeReturn,113,0.0
114,,114,2019-09-13 00:00:00,3012.25,3020.75,3000.25,3004.0,45284.0,0.0,MyStrategy,114,737315.0,Broker,114,19524.344493187506,19525.344493187506,BuySell,114,,,Trades - Net Profit/Loss,114,,,TimeReturn,114,-0.0004223493020129032
115,,115,2019-09-15 00:00:00,3004.0,3006.5,2989.75,2999.0,19724.0,0.0,MyStrategy,115,737317.0,Broker,115,19519.344493187506,19520.344493187506,BuySell,115,,,Trades - Net Profit/Loss,115,,,TimeReturn,115,-0.0002560774280702116
116,,116,2019-09-16 00:00:00,2999.25,3014.5,2994.5,3006.25,172233.0,0.0,MyStrategy,116,737318.0,Broker,116,19526.594493187506,19527.594493187506,BuySell,116,,,Trades - Net Profit/Loss,116,,,TimeReturn,116,0.00037140737974827864
117,,117,2019-09-17 00:00:00,3006.25,3015.5,3000.25,3010.25,143089.0,0.0,MyStrategy,117,737319.0,Broker,117,19530.594493187506,19531.594493187506,BuySell,117,,,Trades - Net Profit/Loss,117,,,TimeReturn,117,0.0002048383379424923
118,,118,2019-09-18 00:00:00,3010.5,3019.75,2986.75,3005.5,235356.0,0.0,MyStrategy,118,737320.0,Broker,118,19525.844493187506,19526.844493187506,BuySell,118,,,Trades - Net Profit/Loss,118,,,TimeReturn,118,-0.00024319571050157585
119,,119,2019-09-19 00:00:00,3005.75,3030.75,2997.25,3017.0,218922.0,0.0,MyStrategy,119,737321.0,Broker,119,19537.344493187506,19538.344493187506,BuySell,119,,,Trades - Net Profit/Loss,119,,,TimeReturn,119,0.0005889328408392736
120,,120,2019-09-20 00:00:00,3017.0,3024.25,2991.5,2995.0,294239.0,0.0,MyStrategy,120,737322.0,Broker,120,19515.344493187506,19516.344493187506,BuySell,120,,,Trades - Net Profit/Loss,120,,,TimeReturn,120,-0.0011259909972245463
121,,121,2019-09-22 00:00:00,3001.25,3014.25,3001.25,3007.5,17060.0,0.0,MyStrategy,121,737324.0,Broker,121,19513.543743187503,19514.543743187503,BuySell,121,,3059.46375,Trades - Net Profit/Loss,121,68.00518550000031,,TimeReturn,121,-9.226881604962323e-05
122,,122,2019-09-23 00:00:00,3007.5,3018.75,2988.25,3011.25,244275.0,0.0,MyStrategy,122,737325.0,Broker,122,19509.793743187503,19510.793743187503,BuySell,122,,,Trades - Net Profit/Loss,122,,,TimeReturn,122,-0.00019216436978231055
123,,123,2019-09-24 00:00:00,3011.0,3015.75,2964.75,2983.0,482206.0,0.0,MyStrategy,123,737326.0,Broker,123,19538.043743187503,19539.043743187503,BuySell,123,,,Trades - Net Profit/Loss,123,,,TimeReturn,123,0.001447916490320278
124,,124,2019-09-25 00:00:00,2983.0,2998.0,2959.75,2989.5,292387.0,0.0,MyStrategy,124,737327.0,Broker,124,19531.543743187503,19532.543743187503,BuySell,124,,,Trades - Net Profit/Loss,124,,,TimeReturn,124,-0.00033266725257552476
125,,125,2019-09-26 00:00:00,2989.5,3001.75,2970.5,2981.75,278557.0,0.0,MyStrategy,125,737328.0,Broker,125,19539.293743187503,19540.293743187503,BuySell,125,,,Trades - Net Profit/Loss,125,,,TimeReturn,125,0.00039677371784740956
126,,126,2019-09-27 00:00:00,2981.75,2999.25,2952.25,2974.5,347712.0,0.0,MyStrategy,126,737329.0,Broker,126,19546.543743187503,19547.543743187503,BuySell,126,,,Trades - Net Profit/Loss,126,,,TimeReturn,126,0.00037102819923195973
127,,127,2019-09-29 00:00:00,2981.5,2986.25,2971.75,2983.0,16745.0,0.0,MyStrategy,127,737331.0,Broker,127,19538.043743187503,19539.043743187503,BuySell,127,,,Trades - Net Profit/Loss,127,,,TimeReturn,127,-0.0004348372415312607
128,,128,2019-09-30 00:00:00,2983.0,2998.75,2970.75,2996.75,195281.0,0.0,MyStrategy,128,737332.0,Broker,128,19524.293743187503,19525.293743187503,BuySell,128,,,Trades - Net Profit/Loss,128,,,TimeReturn,128,-0.0007037191881406057
129,,129,2019-10-01 00:00:00,2996.5,3000.5,2943.0,2951.0,335411.0,0.0,MyStrategy,129,737333.0,Broker,129,19474.2484442375,19475.2484442375,BuySell,129,2898.855,,Trades - Net Profit/Loss,129,1.4519755250003568,,TimeReturn,129,-0.0025631009504000213
130,,130,2019-10-02 00:00:00,2951.25,2952.0,2880.25,2894.5,414103.0,0.0,MyStrategy,130,737334.0,Broker,130,19526.5273296125,19527.5273296125,BuySell,130,,2996.2799999999997,Trades - Net Profit/Loss,130,,-50.00820678749968,TimeReturn,130,0.0026843757872814233
131,,131,2019-10-03 00:00:00,2894.5,2919.25,2861.25,2914.0,412326.0,0.0,MyStrategy,131,737335.0,Broker,131,19507.0273296125,19508.0273296125,BuySell,131,,,Trades - Net Profit/Loss,131,,,TimeReturn,131,-0.0009985903320400835
132,,132,2019-10-04 00:00:00,2914.0,2959.5,2896.5,2956.75,310073.0,0.0,MyStrategy,132,737336.0,Broker,132,19464.2773296125,19465.2773296125,BuySell,132,,,Trades - Net Profit/Loss,132,,,TimeReturn,132,-0.0021914055828241574
133,,133,2019-10-06 00:00:00,2943.5,2949.25,2932.75,2943.75,16952.0,0.0,MyStrategy,133,737338.0,Broker,133,19473.0668465625,19474.0668465625,BuySell,133,2888.75875,,Trades - Net Profit/Loss,133,3.034201162500262,,TimeReturn,133,0.0004515485087195348
134,,134,2019-10-07 00:00:00,2943.75,2965.5,2940.0,2952.75,268563.0,0.0,MyStrategy,134,737339.0,Broker,134,19482.0668465625,19483.0668465625,BuySell,134,,,Trades - Net Profit/Loss,134,,,TimeReturn,134,0.0004621530813728736
135,,135,2019-10-08 00:00:00,2952.75,2956.25,2894.5,2907.5,445074.0,0.0,MyStrategy,135,737340.0,Broker,135,19436.8168465625,19437.8168465625,BuySell,135,,,Trades - Net Profit/Loss,135,,,TimeReturn,135,-0.0023225296282337604
136,,136,2019-10-09 00:00:00,2907.5,2938.25,2888.0,2919.75,375445.0,0.0,MyStrategy,136,737341.0,Broker,136,19419.915718812495,19420.915718812495,BuySell,136,,2982.3237499999996,Trades - Net Profit/Loss,136,,-40.68080539999937,TimeReturn,136,-0.0008694972220089081
137,,137,2019-10-10 00:00:00,2919.75,2963.75,2913.0,2957.25,313404.0,0.0,MyStrategy,137,737342.0,Broker,137,19382.415718812495,19383.415718812495,BuySell,137,,,Trades - Net Profit/Loss,137,,,TimeReturn,137,-0.0019309079212816993
138,,138,2019-10-11 00:00:00,2957.0,3000.0,2954.5,2976.75,328704.0,0.0,MyStrategy,138,737343.0,Broker,138,19397.68363171249,19398.68363171249,BuySell,138,2910.1825,,Trades - Net Profit/Loss,138,,-54.19160742499938,TimeReturn,138,0.0007876791748926415
139,,139,2019-10-13 00:00:00,2974.0,2988.5,2973.25,2984.5,19739.0,0.0,MyStrategy,139,737345.0,Broker,139,19405.43363171249,19406.43363171249,BuySell,139,,,Trades - Net Profit/Loss,139,,,TimeReturn,139,0.000399511644559869
140,,140,2019-10-14 00:00:00,2984.5,2987.0,2960.25,2978.25,203611.0,0.0,MyStrategy,140,737346.0,Broker,140,19399.18363171249,19400.18363171249,BuySell,140,,,Trades - Net Profit/Loss,140,,,TimeReturn,140,-0.0003220581441499837
141,,141,2019-10-15 00:00:00,2978.25,3009.5,2977.75,2994.25,237350.0,0.0,MyStrategy,141,737347.0,Broker,141,19415.18363171249,19416.18363171249,BuySell,141,,,Trades - Net Profit/Loss,141,,,TimeReturn,141,0.0008247344614742413
142,,142,2019-10-16 00:00:00,2994.25,3003.75,2991.0,2996.0,224115.0,0.0,MyStrategy,142,737348.0,Broker,142,19416.93363171249,19417.93363171249,BuySell,142,,,Trades - Net Profit/Loss,142,,,TimeReturn,142,9.013099758403698e-05
143,,143,2019-10-17 00:00:00,2995.75,3014.25,2991.5,3000.0,255810.0,0.0,MyStrategy,143,737349.0,Broker,143,19420.93363171249,19421.93363171249,BuySell,143,,,Trades - Net Profit/Loss,143,,,TimeReturn,143,0.00020599514221575355
144,,144,2019-10-18 00:00:00,2999.75,3007.25,2981.25,2995.75,247188.0,0.0,MyStrategy,144,737350.0,Broker,144,19416.68363171249,19417.68363171249,BuySell,144,,,Trades - Net Profit/Loss,144,,,TimeReturn,144,-0.00021882476176626753
145,,145,2019-10-20 00:00:00,2991.25,3003.5,2990.0,3001.75,14089.0,0.0,MyStrategy,145,737352.0,Broker,145,19422.68363171249,19423.68363171249,BuySell,145,,,Trades - Net Profit/Loss,145,,,TimeReturn,145,0.0003089966915621467
146,,146,2019-10-21 00:00:00,3001.75,3020.25,2995.75,3018.5,182378.0,0.0,MyStrategy,146,737353.0,Broker,146,19439.43363171249,19440.43363171249,BuySell,146,,,Trades - Net Profit/Loss,146,,,TimeReturn,146,0.0008623493008634853
147,,147,2019-10-22 00:00:00,3018.5,3020.25,2988.25,2993.0,263829.0,0.0,MyStrategy,147,737354.0,Broker,147,19413.93363171249,19414.93363171249,BuySell,147,,,Trades - Net Profit/Loss,147,,,TimeReturn,147,-0.0013116991360935248
148,,148,2019-10-23 00:00:00,2993.25,3016.0,2990.25,3012.0,193971.0,0.0,MyStrategy,148,737355.0,Broker,148,19432.93363171249,19433.93363171249,BuySell,148,,,Trades - Net Profit/Loss,148,,,TimeReturn,148,0.0009786281200037106
149,,149,2019-10-24 00:00:00,3012.0,3021.75,3004.75,3011.0,225549.0,0.0,MyStrategy,149,737356.0,Broker,149,19431.93363171249,19432.93363171249,BuySell,149,,,Trades - Net Profit/Loss,149,,,TimeReturn,149,-5.14563864912887e-05
150,,150,2019-10-25 00:00:00,3010.75,3032.75,3006.25,3026.25,187620.0,0.0,MyStrategy,150,737357.0,Broker,150,19447.18363171249,19448.18363171249,BuySell,150,,,Trades - Net Profit/Loss,150,,,TimeReturn,150,0.0007847502744060542
151,,151,2019-10-27 00:00:00,3029.25,3032.5,3028.25,3031.5,9384.0,0.0,MyStrategy,151,737359.0,Broker,151,19452.43363171249,19453.43363171249,BuySell,151,,,Trades - Net Profit/Loss,151,,,TimeReturn,151,0.00026994808869651443
152,,152,2019-10-28 00:00:00,3031.25,3049.0,3030.0,3044.25,177291.0,0.0,MyStrategy,152,737360.0,Broker,152,19465.18363171249,19466.18363171249,BuySell,152,,,Trades - Net Profit/Loss,152,,,TimeReturn,152,0.0006554112883812024
153,,153,2019-10-29 00:00:00,3044.0,3052.25,3035.75,3039.75,205319.0,0.0,MyStrategy,153,737361.0,Broker,153,19460.68363171249,19461.68363171249,BuySell,153,,,Trades - Net Profit/Loss,153,,,TimeReturn,153,-0.0002311701196874294
154,,154,2019-10-30 00:00:00,3039.5,3061.75,3029.5,3053.75,253953.0,0.0,MyStrategy,154,737362.0,Broker,154,19474.68363171249,19475.68363171249,BuySell,154,,,Trades - Net Profit/Loss,154,,,TimeReturn,154,0.0007193622229675345
155,,155,2019-10-31 00:00:00,3053.75,3057.75,3026.25,3048.25,336994.0,0.0,MyStrategy,155,737363.0,Broker,155,19469.18363171249,19470.18363171249,BuySell,155,,,Trades - Net Profit/Loss,155,,,TimeReturn,155,-0.0002824034372300721
156,,156,2019-11-01 00:00:00,3048.5,3071.5,3044.25,3069.25,184333.0,0.0,MyStrategy,156,737364.0,Broker,156,19490.18363171249,19491.18363171249,BuySell,156,,,Trades - Net Profit/Loss,156,,,TimeReturn,156,0.0010785722619377491
157,,157,2019-11-03 00:00:00,3070.5,3078.0,3070.5,3076.25,8950.0,0.0,MyStrategy,157,737366.0,Broker,157,19497.18363171249,19498.18363171249,BuySell,157,,,Trades - Net Profit/Loss,157,,,TimeReturn,157,0.0003591367323947381
158,,158,2019-11-04 00:00:00,3076.25,3092.0,3075.0,3087.25,185908.0,0.0,MyStrategy,158,737367.0,Broker,158,19508.18363171249,19509.18363171249,BuySell,158,,,Trades - Net Profit/Loss,158,,,TimeReturn,158,0.0005641551135107115
159,,159,2019-11-05 00:00:00,3087.25,3091.25,3073.75,3076.5,186544.0,0.0,MyStrategy,159,737368.0,Broker,159,19497.43363171249,19498.43363171249,BuySell,159,,,Trades - Net Profit/Loss,159,,,TimeReturn,159,-0.0005510225441994754
160,,160,2019-11-06 00:00:00,3076.5,3084.25,3069.5,3078.5,217367.0,0.0,MyStrategy,160,737369.0,Broker,160,19499.43363171249,19500.43363171249,BuySell,160,,,Trades - Net Profit/Loss,160,,,TimeReturn,160,0.00010257234184951614
161,,161,2019-11-07 00:00:00,3078.5,3103.75,3077.75,3084.75,209923.0,0.0,MyStrategy,161,737370.0,Broker,161,19505.68363171249,19506.68363171249,BuySell,161,,,Trades - Net Profit/Loss,161,,,TimeReturn,161,0.0003205056932598094
162,,162,2019-11-08 00:00:00,3084.75,3098.75,3078.75,3098.0,141605.0,0.0,MyStrategy,162,737371.0,Broker,162,19518.93363171249,19519.93363171249,BuySell,162,,,Trades - Net Profit/Loss,162,,,TimeReturn,162,0.000679254364819748
163,,163,2019-11-10 00:00:00,3097.25,3098.25,3088.0,3089.25,11066.0,0.0,MyStrategy,163,737373.0,Broker,163,19510.18363171249,19511.18363171249,BuySell,163,,,Trades - Net Profit/Loss,163,,,TimeReturn,163,-0.00044825972081097287
164,,164,2019-11-11 00:00:00,3089.0,3094.5,3080.75,3091.5,111245.0,0.0,MyStrategy,164,737374.0,Broker,164,19512.43363171249,19513.43363171249,BuySell,164,,,Trades - Net Profit/Loss,164,,,TimeReturn,164,0.00011531847798007533
165,,165,2019-11-12 00:00:00,3091.5,3108.25,3088.25,3089.5,168401.0,0.0,MyStrategy,165,737375.0,Broker,165,19510.43363171249,19511.43363171249,BuySell,165,,,Trades - Net Profit/Loss,165,,,TimeReturn,165,-0.00010249349436630695
166,,166,2019-11-13 00:00:00,3089.25,3106.0,3082.0,3098.25,208763.0,0.0,MyStrategy,166,737376.0,Broker,166,19519.18363171249,19520.18363171249,BuySell,166,,,Trades - Net Profit/Loss,166,,,TimeReturn,166,0.0004484550015728672
167,,167,2019-11-14 00:00:00,3098.5,3117.25,3088.0,3113.75,180638.0,0.0,MyStrategy,167,737377.0,Broker,167,19534.68363171249,19535.68363171249,BuySell,167,,,Trades - Net Profit/Loss,167,,,TimeReturn,167,0.0007940499071339424
168,,168,2019-11-15 00:00:00,3114.0,3125.75,3108.5,3125.75,135527.0,0.0,MyStrategy,168,737378.0,Broker,168,19546.68363171249,19547.68363171249,BuySell,168,,,Trades - Net Profit/Loss,168,,,TimeReturn,168,0.0006142605616585861
169,,169,2019-11-17 00:00:00,3125.5,3125.75,3120.0,3123.25,9248.0,0.0,MyStrategy,169,737380.0,Broker,169,19544.18363171249,19545.18363171249,BuySell,169,,,Trades - Net Profit/Loss,169,,,TimeReturn,169,-0.00012789239109356476
170,,170,2019-11-18 00:00:00,3123.0,3134.25,3117.25,3130.0,161696.0,0.0,MyStrategy,170,737381.0,Broker,170,19550.93363171249,19551.93363171249,BuySell,170,,,Trades - Net Profit/Loss,170,,,TimeReturn,170,0.00034535362405341274
171,,171,2019-11-19 00:00:00,3130.25,3138.75,3114.5,3120.5,195158.0,0.0,MyStrategy,171,737382.0,Broker,171,19541.43363171249,19542.43363171249,BuySell,171,,,Trades - Net Profit/Loss,171,,,TimeReturn,171,-0.0004858854463678508
172,,172,2019-11-20 00:00:00,3120.5,3124.75,3097.0,3107.5,305425.0,0.0,MyStrategy,172,737383.0,Broker,172,19528.43363171249,19529.43363171249,BuySell,172,,,Trades - Net Profit/Loss,172,,,TimeReturn,172,-0.0006652190942536551
173,,173,2019-11-21 00:00:00,3107.5,3120.75,3099.75,3114.25,221097.0,0.0,MyStrategy,173,737384.0,Broker,173,19516.712563962494,19517.712563962494,BuySell,173,,3167.5612499999997,Trades - Net Profit/Loss,173,145.64842257500024,,TimeReturn,173,-0.000600174483860294
174,,174,2019-11-22 00:00:00,3114.0,3120.75,3104.0,3118.0,154674.0,0.0,MyStrategy,174,737385.0,Broker,174,19512.962563962494,19513.962563962494,BuySell,174,,,Trades - Net Profit/Loss,174,,,TimeReturn,174,-0.00019213317071409275
175,,175,2019-11-24 00:00:00,3123.75,3127.5,3122.75,3124.5,11680.0,0.0,MyStrategy,175,737387.0,Broker,175,19506.462563962494,19507.462563962494,BuySell,175,,,Trades - Net Profit/Loss,175,,,TimeReturn,175,-0.0003330948278031931
176,,176,2019-11-25 00:00:00,3124.5,3151.0,3123.0,3141.0,116164.0,0.0,MyStrategy,176,737388.0,Broker,176,19517.962426612496,19518.962426612496,BuySell,176,3076.1549999999997,,Trades - Net Profit/Loss,176,,-21.985602549999985,TimeReturn,176,0.0005895109429170375
177,,177,2019-11-26 00:00:00,3141.0,3153.25,3134.25,3152.0,136795.0,0.0,MyStrategy,177,737389.0,Broker,177,19528.962426612496,19529.962426612496,BuySell,177,,,Trades - Net Profit/Loss,177,,,TimeReturn,177,0.0005635545455531243
178,,178,2019-11-27 00:00:00,3152.25,3161.75,3147.0,3151.0,116661.0,0.0,MyStrategy,178,737390.0,Broker,178,19527.962426612496,19528.962426612496,BuySell,178,,,Trades - Net Profit/Loss,178,,,TimeReturn,178,-5.1203375518893424e-05
179,,179,2019-11-28 00:00:00,3151.25,3158.25,3149.0,3151.25,23277.0,0.0,MyStrategy,179,737391.0,Broker,179,19528.212426612496,19529.212426612496,BuySell,179,,,Trades - Net Profit/Loss,179,,,TimeReturn,179,1.2801499359671453e-05
180,,180,2019-11-29 00:00:00,3151.25,3156.25,3145.75,3149.75,76384.0,0.0,MyStrategy,180,737392.0,Broker,180,19526.712426612496,19527.712426612496,BuySell,180,,,Trades - Net Profit/Loss,180,,,TimeReturn,180,-7.680801290055328e-05
181,,181,2019-12-01 00:00:00,3151.25,3160.75,3150.25,3159.25,16490.0,0.0,MyStrategy,181,737394.0,Broker,181,19536.212426612496,19537.212426612496,BuySell,181,,,Trades - Net Profit/Loss,181,,,TimeReturn,181,0.0004864881145552058
182,,182,2019-12-02 00:00:00,3159.25,3164.0,3114.5,3126.75,344782.0,0.0,MyStrategy,182,737395.0,Broker,182,19503.712426612496,19504.712426612496,BuySell,182,,,Trades - Net Profit/Loss,182,,,TimeReturn,182,-0.0016634921753592158
183,,183,2019-12-03 00:00:00,3126.5,3128.0,3075.75,3100.0,400134.0,0.0,MyStrategy,183,737396.0,Broker,183,19524.960964562495,19525.960964562495,BuySell,183,,3174.9199999999996,Trades - Net Profit/Loss,183,,-3.000799699999647,TimeReturn,183,0.0010894053439622908
184,,184,2019-12-04 00:00:00,3100.0,3125.75,3088.0,3117.0,248099.0,0.0,MyStrategy,184,737397.0,Broker,184,19507.960964562495,19508.960964562495,BuySell,184,,,Trades - Net Profit/Loss,184,,,TimeReturn,184,-0.0008706357669593379
185,,185,2019-12-05 00:00:00,3117.0,3131.0,3109.75,3127.5,254468.0,0.0,MyStrategy,185,737398.0,Broker,185,19497.460964562495,19498.460964562495,BuySell,185,,,Trades - Net Profit/Loss,185,,,TimeReturn,185,-0.0005382142093098841
186,,186,2019-12-06 00:00:00,3127.5,3157.5,3126.0,3153.0,178789.0,0.0,MyStrategy,186,737399.0,Broker,186,19517.956026312495,19518.956026312495,BuySell,186,3079.11,,Trades - Net Profit/Loss,186,,-6.003200149999498,TimeReturn,186,0.0010511117665772396
187,,187,2019-12-08 00:00:00,3152.75,3155.0,3146.0,3147.5,12983.0,0.0,MyStrategy,187,737401.0,Broker,187,19512.456026312495,19513.456026312495,BuySell,187,,,Trades - Net Profit/Loss,187,,,TimeReturn,187,-0.0002817773651718758
188,,188,2019-12-09 00:00:00,3147.5,3155.75,3137.5,3142.25,161719.0,0.0,MyStrategy,188,737402.0,Broker,188,19507.206026312495,19508.206026312495,BuySell,188,,,Trades - Net Profit/Loss,188,,,TimeReturn,188,-0.00026904511394187924
189,,189,2019-12-10 00:00:00,3142.25,3149.25,3122.5,3140.0,258637.0,0.0,MyStrategy,189,737403.0,Broker,189,19504.956026312495,19505.956026312495,BuySell,189,,,Trades - Net Profit/Loss,189,,,TimeReturn,189,-0.00011533607944091973
190,,190,2019-12-11 00:00:00,3139.75,3153.75,3137.5,3152.75,187854.0,0.0,MyStrategy,190,737404.0,Broker,190,19517.706026312495,19518.706026312495,BuySell,190,,,Trades - Net Profit/Loss,190,,,TimeReturn,190,0.0006536465058570862
191,,191,2019-12-12 00:00:00,3152.5,3191.0,3143.25,3186.25,379071.0,0.0,MyStrategy,191,737405.0,Broker,191,19551.206026312495,19552.206026312495,BuySell,191,,,Trades - Net Profit/Loss,191,,,TimeReturn,191,0.001716302297644079
192,,192,2019-12-13 00:00:00,3186.25,3191.25,3163.0,3178.0,67108.0,0.0,MyStrategy,192,737406.0,Broker,192,19542.956026312495,19543.956026312495,BuySell,192,,,Trades - Net Profit/Loss,192,,,TimeReturn,192,-0.0004219472722871709
193,,193,2019-12-15 00:00:00,3178.0,3183.75,3176.0,3183.0,10760.0,0.0,MyStrategy,193,737408.0,Broker,193,19547.956026312495,19548.956026312495,BuySell,193,,,Trades - Net Profit/Loss,193,,,TimeReturn,193,0.0002558335678441992
194,,194,2019-12-16 00:00:00,3183.25,3201.5,3180.75,3197.0,139182.0,0.0,MyStrategy,194,737409.0,Broker,194,19561.956026312495,19562.956026312495,BuySell,194,,,Trades - Net Profit/Loss,194,,,TimeReturn,194,0.0007161507745556683
195,,195,2019-12-17 00:00:00,3197.25,3203.0,3191.25,3193.75,158729.0,0.0,MyStrategy,195,737410.0,Broker,195,19558.706026312495,19559.706026312495,BuySell,195,,,Trades - Net Profit/Loss,195,,,TimeReturn,195,-0.00016613031259837818
196,,196,2019-12-18 00:00:00,3193.75,3202.0,3190.75,3196.5,132799.0,0.0,MyStrategy,196,737411.0,Broker,196,19561.456026312495,19562.456026312495,BuySell,196,,,Trades - Net Profit/Loss,196,,,TimeReturn,196,0.00014059516008568806
197,,197,2019-12-19 00:00:00,3196.5,3213.0,3193.5,3209.75,122104.0,0.0,MyStrategy,197,737412.0,Broker,197,19574.706026312495,19575.706026312495,BuySell,197,,,Trades - Net Profit/Loss,197,,,TimeReturn,197,0.0006773178164427573
198,,198,2019-12-20 00:00:00,3210.0,3228.5,3207.75,3223.5,143981.0,0.0,MyStrategy,198,737413.0,Broker,198,19588.456026312495,19589.456026312495,BuySell,198,,,Trades - Net Profit/Loss,198,,,TimeReturn,198,0.000702401230459726
199,,199,2019-12-22 00:00:00,3225.25,3228.0,3223.75,3227.25,7530.0,0.0,MyStrategy,199,737415.0,Broker,199,19592.206026312495,19593.206026312495,BuySell,199,,,Trades - Net Profit/Loss,199,,,TimeReturn,199,0.00019142951161899013
200,,200,2019-12-23 00:00:00,3227.0,3233.25,3223.25,3226.5,84409.0,0.0,MyStrategy,200,737416.0,Broker,200,19591.456026312495,19592.456026312495,BuySell,200,,,Trades - Net Profit/Loss,200,,,TimeReturn,200,-3.827857467497697e-05
201,,201,2019-12-24 00:00:00,3226.75,3230.0,3221.5,3225.5,37114.0,0.0,MyStrategy,201,737417.0,Broker,201,19590.456026312495,19591.456026312495,BuySell,201,,,Trades - Net Profit/Loss,201,,,TimeReturn,201,-5.104005330713868e-05
202,,202,2019-12-25 00:00:00,3225.75,3230.0,3225.75,3228.5,4281.0,0.0,MyStrategy,202,737418.0,Broker,202,19593.456026312495,19594.456026312495,BuySell,202,,,Trades - Net Profit/Loss,202,,,TimeReturn,202,0.00015312797558131308
203,,203,2019-12-26 00:00:00,3228.5,3249.0,3227.75,3248.0,64600.0,0.0,MyStrategy,203,737419.0,Broker,203,19612.956026312495,19613.956026312495,BuySell,203,,,Trades - Net Profit/Loss,203,,,TimeReturn,203,0.00099517945146399
204,,204,2019-12-27 00:00:00,3247.75,3253.0,3234.5,3235.5,142857.0,0.0,MyStrategy,204,737420.0,Broker,204,19600.456026312495,19601.456026312495,BuySell,204,,,Trades - Net Profit/Loss,204,,,TimeReturn,204,-0.0006373013166355301
205,,205,2019-12-29 00:00:00,3236.5,3243.25,3236.5,3242.5,8967.0,0.0,MyStrategy,205,737422.0,Broker,205,19607.456026312495,19608.456026312495,BuySell,205,,,Trades - Net Profit/Loss,205,,,TimeReturn,205,0.0003571163280218226
206,,206,2019-12-30 00:00:00,3242.5,3243.5,3216.25,3226.0,189482.0,0.0,MyStrategy,206,737423.0,Broker,206,19590.956026312495,19591.956026312495,BuySell,206,,,Trades - Net Profit/Loss,206,,,TimeReturn,206,-0.0008414736977688797
207,,207,2019-12-31 00:00:00,3226.25,3235.0,3212.0,3235.0,137672.0,0.0,MyStrategy,207,737424.0,Broker,207,19577.294994187498,19578.294994187498,BuySell,207,,3283.5249999999996,Trades - Net Profit/Loss,207,93.66701481250034,,TimeReturn,207,-0.0006972776024328775
208,,208,2020-01-01 00:00:00,3236.0,3240.0,3233.25,3238.75,10028.0,0.0,MyStrategy,208,737425.0,Broker,208,19573.544994187498,19574.544994187498,BuySell,208,,,Trades - Net Profit/Loss,208,,,TimeReturn,208,-0.00019153864016829836
209,,209,2020-01-02 00:00:00,3238.75,3262.25,3230.0,3236.0,210096.0,0.0,MyStrategy,209,737426.0,Broker,209,19576.294994187498,19577.294994187498,BuySell,209,,,Trades - Net Profit/Loss,209,,,TimeReturn,209,0.00014048857844795037
210,,210,2020-01-03 00:00:00,3236.0,3245.25,3206.0,3234.5,269582.0,0.0,MyStrategy,210,737427.0,Broker,210,19577.794994187498,19578.794994187498,BuySell,210,,,Trades - Net Profit/Loss,210,,,TimeReturn,210,7.66193695524997e-05
